Date,Open,High,Low,Close,Adj Close,Volume
2008-05-12,6.614643,6.745357,6.530357,6.720000,5.807016,818563200
2008-05-13,6.736072,6.837500,6.709286,6.784286,5.862567,823236400
2008-05-14,6.829643,6.865714,6.627500,6.652143,5.748376,916823600
2008-05-15,6.671786,6.782143,6.578571,6.776072,5.855469,873208000
2008-05-16,6.789643,6.796429,6.678571,6.700714,5.790350,765769200
2008-05-19,6.709286,6.738929,6.475000,6.557143,5.666284,945820400
2008-05-20,6.493571,6.648571,6.432857,6.639286,5.737267,969850000
2008-05-21,6.631072,6.712500,6.294643,6.363929,5.499320,1157657200
2008-05-22,6.402143,6.476071,6.142857,6.323214,5.464138,1206735600
2008-05-23,6.456071,6.499643,6.350000,6.470357,5.591289,906917200
2008-05-27,6.526786,6.658214,6.494286,6.658214,5.753625,789905200
2008-05-28,6.693214,6.712500,6.561429,6.678928,5.771525,743979600
2008-05-29,6.670000,6.721428,6.625000,6.667500,5.761648,647186400
2008-05-30,6.694643,6.769286,6.692143,6.741071,5.825223,610184400
2008-06-02,6.735714,6.773214,6.590357,6.646429,5.743439,679840000
2008-06-03,6.673572,6.721428,6.512143,6.620357,5.720910,750520400
2008-06-04,6.572143,6.681786,6.543929,6.613929,5.715355,726983600
2008-06-05,6.655000,6.780000,6.632143,6.765357,5.846211,755445600
2008-06-06,6.714286,6.783928,6.626786,6.630000,5.729243,966422800
2008-06-09,6.599643,6.605000,6.276786,6.486072,5.604868,1888392800
2008-06-10,6.446786,6.670714,6.393571,6.630000,5.729243,1140941200
2008-06-11,6.583571,6.642857,6.413929,6.457500,5.580179,961550800
2008-06-12,6.481786,6.521429,6.114286,6.187857,5.347170,1308333600
2008-06-13,6.130000,6.220000,5.903929,6.156072,5.319703,1345957200
2008-06-16,6.117857,6.353571,6.038214,6.315714,5.457656,1051730400
2008-06-17,6.360714,6.499643,6.336071,6.479643,5.599313,899656800
2008-06-18,6.468572,6.507143,6.333929,6.383929,5.516603,811468000
2008-06-19,6.376786,6.512143,6.314286,6.460714,5.582957,791949200
2008-06-20,6.405357,6.464286,6.250000,6.259643,5.409203,888367200
2008-06-23,6.240714,6.281428,6.127143,6.184286,5.344084,645780800
2008-06-24,6.156072,6.277857,6.129643,6.187500,5.346861,621947200
2008-06-25,6.236072,6.386786,6.210000,6.335357,5.474631,644450800
2008-06-26,6.216786,6.244286,6.000357,6.009286,5.192859,869610000
2008-06-27,5.946786,6.091786,5.862500,6.074643,5.249337,1042249600
2008-06-30,6.078214,6.142857,5.950714,5.980000,5.167553,684196800
2008-07-01,5.865357,6.240000,5.857143,6.238572,5.390993,1111280800
2008-07-02,6.257143,6.337500,6.006429,6.006429,5.190389,837519200
2008-07-03,6.056786,6.148929,5.919643,6.075714,5.250262,523362000
2008-07-07,6.184286,6.326071,6.139286,6.255714,5.405807,820391600
2008-07-08,6.264286,6.417857,6.169286,6.412500,5.541293,888350400
2008-07-09,6.435714,6.461071,6.219285,6.223214,5.377723,895776000
2008-07-10,6.247143,6.333571,6.120357,6.308214,5.451176,840688800
2008-07-11,6.266786,6.325357,6.107143,6.163571,5.326183,930011600
2008-07-14,6.401429,6.403572,6.181428,6.210000,5.366304,886054400
2008-07-15,6.160000,6.205000,5.942500,6.058571,5.235448,1040043200
2008-07-16,6.078571,6.176072,6.021429,6.171786,5.333283,747790400
2008-07-17,6.217857,6.249286,6.121071,6.136071,5.302419,757526000
2008-07-18,6.018571,6.058928,5.892857,5.898214,5.096879,868414400
2008-07-21,5.960714,5.982143,5.754286,5.938929,5.132062,1360469600
2008-07-22,5.321429,5.812857,5.233214,5.786428,5.000279,1879592400
2008-07-23,5.892500,6.013214,5.770000,5.937857,5.131136,1061768400
2008-07-24,5.868571,5.902143,5.658928,5.679643,4.908002,839619200
2008-07-25,5.728571,5.821429,5.666071,5.790000,5.003366,633637200
2008-07-28,5.797857,5.802500,5.500714,5.514286,4.765110,780712800
2008-07-29,5.550357,5.694643,5.487500,5.610000,4.847821,684070800
2008-07-30,5.635000,5.731786,5.574286,5.710000,4.934236,725183200
2008-07-31,5.626429,5.792857,5.606429,5.676786,4.905532,637498400
2008-08-01,5.710714,5.713929,5.562500,5.595000,4.834858,544639200
2008-08-04,5.592857,5.639286,5.461071,5.472500,4.729001,592527600
2008-08-05,5.550714,5.742857,5.529286,5.737143,4.957689,688371600
2008-08-06,5.713214,5.978571,5.642857,5.863929,5.067252,791408800
2008-08-07,5.811071,5.933928,5.767857,5.841786,5.048117,672372400
2008-08-08,5.852143,6.058928,5.848214,6.055357,5.232670,713997200
2008-08-11,6.073928,6.303571,6.059643,6.198571,5.356427,891304400
2008-08-12,6.197143,6.403214,6.196786,6.311786,5.454261,836278800
2008-08-13,6.356429,6.428571,6.282143,6.403572,5.533576,842346400
2008-08-14,6.368928,6.444643,6.351429,6.404286,5.534195,711300800
2008-08-15,6.394286,6.419643,6.251786,6.276429,5.423708,708251600
2008-08-18,6.270357,6.350357,6.207857,6.263928,5.412906,552014400
2008-08-19,6.233572,6.323928,6.136071,6.197500,5.355503,616204400
2008-08-20,6.241786,6.319286,6.200357,6.280000,5.426795,506951200
2008-08-21,6.231071,6.266071,6.138928,6.224643,5.378957,539744800
2008-08-22,6.279286,6.339286,6.270357,6.313929,5.456113,439611200
2008-08-25,6.291071,6.293929,6.130714,6.162500,5.325257,484425200
2008-08-26,6.170000,6.245714,6.164643,6.201428,5.358897,445550000
2008-08-27,6.189643,6.277143,6.149643,6.238214,5.390686,477780800
2008-08-28,6.260000,6.294643,6.169643,6.205000,5.361986,431384800
2008-08-29,6.177143,6.196429,6.037143,6.054643,5.232053,599289600
2008-09-02,6.157143,6.196429,5.892857,5.935357,5.128974,780763200
2008-09-03,5.958571,6.024286,5.857143,5.962857,5.152738,734834800
2008-09-04,5.923572,5.996786,5.743214,5.757857,4.975590,743386000
2008-09-05,5.663929,5.800000,5.630357,5.720714,4.943493,786884000
2008-09-08,5.877500,5.888928,5.409286,5.640000,4.873745,1045979200
2008-09-09,5.602143,5.712857,5.349643,5.417143,4.681167,1245025600
2008-09-10,5.440000,5.535357,5.314286,5.414643,4.679005,973142800
2008-09-11,5.292143,5.463929,5.214286,5.451786,4.711102,971135200
2008-09-12,5.389643,5.389643,5.232143,5.319286,4.596603,793027200
2008-09-15,5.072500,5.274643,5.012857,5.012857,4.331807,920634400
2008-09-16,4.780715,5.089286,4.719643,4.995714,4.316993,1199836400
2008-09-17,4.946072,4.946786,4.565357,4.565357,3.945105,1200455200
2008-09-18,4.663214,4.836786,4.310000,4.788929,4.138300,1676253600
2008-09-19,5.092857,5.150000,4.868214,5.032500,4.348781,1430875600
2008-09-22,4.997857,5.008929,4.666429,4.680357,4.044479,856713200
2008-09-23,4.708929,4.850000,4.523571,4.530000,3.914551,1280364400
2008-09-24,4.545357,4.676786,4.469643,4.596786,3.972262,1047015200
2008-09-25,4.635714,4.813929,4.590000,4.711786,4.071639,1006045600
2008-09-26,4.461071,4.635714,4.392857,4.580000,3.957757,1126451200
2008-09-29,4.272143,4.274286,3.592500,3.759286,3.248547,2622057200
2008-09-30,3.866071,4.107143,3.796429,4.059286,3.507788,1626682400
2008-10-01,3.997143,4.012857,3.835357,3.897143,3.367674,1296484000
2008-10-02,3.857500,3.885357,3.571429,3.575000,3.089298,1609364400
2008-10-03,3.714286,3.803571,3.380357,3.466786,2.995785,2294398400
2008-10-06,3.284286,3.527857,3.126429,3.505000,3.028808,2107417200
2008-10-07,3.588571,3.625000,3.176786,3.184286,2.751666,1878772000
2008-10-08,3.068214,3.440357,3.060000,3.206786,2.771109,2207741200
2008-10-09,3.333929,3.421429,3.092857,3.169286,2.738704,1617383600
